
 Sim No:, 1,, N:, 1.0,, d:, 4.357 
Step No:, 1,, N_bact:, 80,, N_food:,1519 
 
Symbol:, pos x:, pos y: 
H,1.11,6.06
He,1.85,4.77
He,3.96,6.30
He,3.76,6.67
He,4.93,7.12
He,4.45,7.77
He,3.63,8.56
He,1.80,6.48
He,2.04,7.14
He,2.90,5.54
He,4.27,7.62
He,2.60,5.50
Li,6.43,9.36
Li,7.29,7.09
Li,8.47,8.72
Li,8.00,7.78
Li,4.77,9.18
Li,7.54,9.65
Li,8.05,6.02
Li,7.55,9.42
Li,5.48,6.41
Li,6.29,8.47
Li,7.97,8.15
Li,5.49,9.40
Li,5.76,9.67
Li,8.68,8.87
Li,6.97,7.64
Li,4.61,8.51
Li,6.87,6.57
Li,5.31,7.80
Li,6.37,5.96
Li,6.60,6.83
Li,6.48,8.74
Li,4.90,7.20
Li,7.04,8.43
Li,7.61,8.90
Li,8.38,7.67
Li,6.73,7.55
Li,6.57,9.99
Li,5.30,7.80
Li,8.37,7.67
Be,5.96,4.73
Be,6.21,3.57
Be,6.94,2.78
Be,6.26,0.80
Be,5.74,3.04
Be,6.76,2.71
Be,5.76,3.18
Be,8.70,2.22
Be,4.62,4.47
Be,8.08,3.01
Be,6.41,1.11
Be,6.28,4.38
Be,5.60,3.31
Be,6.78,5.59
Be,6.15,4.77
Be,4.68,3.44
Be,7.65,2.33
Be,6.10,3.41
Be,7.01,3.42
Be,6.92,3.32
Be,6.21,2.25
Be,6.65,4.36
Be,5.09,1.50
Be,6.95,2.21
Be,7.19,2.17
Be,6.88,3.32
Be,6.57,1.51
Be,5.63,4.32
Be,4.25,5.45
Be,5.52,4.36
Be,6.87,3.46
Be,5.50,3.67
Be,4.49,4.44
Be,4.66,3.46
Be,8.01,3.08
Be,6.42,1.73
Be,6.75,2.71
Be,4.69,2.48
Be,6.87,3.32
O,9.24,6.69
O,9.03,2.63
O,8.98,3.90
O,0.22,1.81
O,4.64,2.12
O,0.30,0.82
O,7.30,8.43
O,0.66,0.29
O,5.11,4.13
O,4.01,4.44
O,8.65,3.53
O,6.84,0.87
O,7.32,8.34
O,3.35,2.59
O,2.57,1.19
O,7.57,7.71
O,2.94,8.25
O,8.03,2.77
O,9.47,8.75
O,1.55,8.47
O,7.75,8.12
O,9.02,4.80
O,9.72,9.53
O,0.16,3.75
O,3.97,3.93
O,3.77,2.10
O,9.15,0.64
O,4.88,1.97
O,6.30,4.55
O,3.18,7.59
O,2.38,1.73
O,8.15,5.84
O,8.42,8.50
O,2.48,7.04
O,7.00,2.43
O,0.24,4.14
O,3.36,1.22
O,0.75,7.22
O,6.08,1.74
O,4.03,4.67
O,1.63,8.30
O,1.24,1.64
O,3.13,2.70
O,3.10,9.76
O,6.38,5.21
O,1.43,3.36
O,6.71,1.49
O,1.34,6.86
O,9.24,5.25
O,9.09,8.76
O,6.09,1.83
O,8.52,9.61
O,2.72,7.82
O,2.15,2.29
O,8.38,0.67
O,4.45,0.30
O,7.03,2.96
O,2.76,5.22
O,9.99,4.89
O,8.42,3.83
O,8.21,5.35
O,3.72,7.52
O,9.67,1.31
O,7.37,3.53
O,8.97,4.12
O,0.81,4.27
O,2.25,3.19
O,8.93,5.26
O,4.54,3.98
O,3.61,5.05
O,7.69,2.54
O,0.03,8.63
O,0.59,7.86
O,0.62,6.40
O,6.55,5.23
O,0.07,9.25
O,2.54,9.74
O,3.90,8.92
O,8.03,8.48
O,9.18,1.39
O,3.00,9.00
O,2.85,0.64
O,0.77,9.19
O,9.50,6.58
O,6.43,0.76
O,9.25,8.55
O,6.70,4.56
O,8.43,4.64
O,2.04,1.42
O,3.89,8.73
O,9.46,6.03
O,2.45,3.30
O,0.92,4.61
O,9.63,7.62
O,8.71,7.71
O,4.39,1.40
O,3.33,9.14
O,2.14,6.13
O,0.61,6.17
O,6.60,1.38
O,9.20,6.93
O,3.86,2.40
O,1.44,1.35
O,5.48,2.52
O,9.99,0.84
O,9.98,0.74
O,8.76,7.74
O,6.28,1.06
O,7.88,8.36
O,6.54,6.02
O,0.36,2.30
O,1.96,3.64
O,9.19,8.77
O,1.28,3.82
O,0.74,5.58
O,3.39,6.26
O,3.74,0.82
O,6.83,7.98
O,1.45,8.44
O,6.82,1.07
O,0.95,2.55
O,2.40,2.15
O,9.84,2.14
O,0.09,6.11
O,0.50,5.12
O,8.63,8.24
O,0.50,6.86
O,7.17,0.82
O,1.69,0.88
O,7.83,0.95
O,9.32,1.22
O,0.47,3.64
O,8.12,5.25
O,8.21,9.77
O,1.40,8.51
O,0.15,5.98
O,9.89,0.59
O,3.58,3.27
O,8.55,4.28
O,9.05,6.35
O,7.14,1.79
O,8.47,4.79
O,3.15,3.81
O,3.56,4.68
O,2.19,6.33
O,5.89,2.54
O,1.57,9.25
O,0.84,1.92
O,1.57,1.24
O,3.25,4.75
O,4.48,9.26
O,2.32,5.55
O,8.17,4.35
O,2.42,2.68
O,0.09,8.58
O,0.64,9.30
O,3.40,4.32
O,0.33,6.71
O,8.70,3.90
O,4.02,3.42
O,1.35,1.80
O,9.12,8.80
O,9.92,6.30
O,2.15,0.37
O,3.67,2.09
O,9.10,8.34
O,2.81,0.05
O,4.39,7.37
O,5.42,4.69
O,7.63,0.35
O,8.56,3.56
O,6.37,0.48
O,6.27,1.17
O,0.79,9.94
O,1.55,4.07
O,1.11,7.04
O,0.16,3.32
O,6.65,3.45
O,0.16,3.06
O,9.40,7.56
O,6.19,0.06
O,5.51,3.45
O,1.21,3.90
O,8.43,0.42
O,3.22,4.62
O,3.55,9.12
O,9.44,0.97
O,8.97,1.93
O,4.25,1.17
O,0.49,2.45
O,6.91,5.19
O,9.37,2.38
O,8.47,2.11
O,9.79,8.72
O,0.14,0.28
O,7.77,6.46
