
 Sim No:, 0,, N:, 1.0,, d:, 0.13 
Step No:, 19,, N_bact:, 995,, N_food:,0 
 
Symbol:, pos x:, pos y: 
H,3.33,2.63
H,3.69,1.87
H,1.64,1.41
H,3.79,2.59
H,2.23,3.80
H,5.59,2.28
H,9.34,1.90
H,6.17,1.40
H,1.90,4.60
H,6.05,1.90
H,3.34,3.61
H,3.35,3.42
H,3.26,3.69
H,1.13,0.77
H,0.26,0.81
H,1.14,0.89
H,7.54,2.88
H,0.08,1.93
H,2.96,1.37
H,1.95,2.17
H,6.11,5.79
H,0.13,1.27
H,5.73,0.41
H,0.62,3.01
H,3.76,1.79
H,1.78,4.98
H,0.93,0.35
H,3.92,0.19
H,4.42,5.43
H,1.41,1.53
H,5.92,3.80
H,0.45,2.33
H,5.51,3.14
H,8.72,0.42
H,8.08,1.56
H,1.05,1.50
H,2.31,2.39
H,7.30,4.33
H,2.57,5.04
H,1.19,0.97
H,3.74,1.90
H,6.47,1.87
H,4.56,0.57
H,9.08,5.65
H,5.00,2.34
H,0.80,7.12
H,8.61,1.21
H,6.49,1.19
H,2.80,0.36
H,7.60,0.63
H,3.53,1.91
H,8.94,2.07
H,8.91,2.32
H,6.42,1.94
H,9.46,9.27
H,0.29,2.63
H,0.13,5.76
H,5.80,1.96
H,7.22,2.40
H,9.16,8.11
H,5.19,8.61
H,8.93,5.91
H,7.05,8.66
H,7.12,7.83
H,8.40,7.39
H,8.41,8.01
H,7.03,6.12
H,2.89,9.69
H,9.95,7.80
H,7.48,6.54
H,6.16,7.17
H,4.70,9.67
H,5.66,6.79
H,8.09,4.84
H,8.24,8.96
H,8.52,9.98
H,7.31,4.90
H,3.87,9.96
H,4.30,2.63
H,9.50,6.80
H,4.18,8.52
H,9.42,3.50
H,3.40,8.90
H,3.77,9.88
H,5.97,9.49
H,6.54,8.57
H,3.56,9.28
H,9.17,7.89
H,7.49,6.44
H,7.34,2.54
H,7.36,9.96
H,3.77,5.05
H,2.73,7.33
H,7.33,9.34
H,5.66,5.16
H,3.47,9.63
H,9.48,2.47
H,8.26,8.69
H,3.98,9.48
H,8.34,8.72
H,4.49,7.45
H,9.43,4.33
H,8.01,8.69
H,7.26,6.54
H,7.43,4.36
H,4.74,8.86
H,6.61,2.61
H,7.60,3.18
H,1.08,4.97
H,3.41,1.63
H,4.61,2.51
H,8.36,0.38
H,8.99,5.21
H,7.22,1.74
H,0.89,0.87
H,8.52,2.97
H,3.85,2.56
H,6.53,8.62
H,7.39,2.96
H,4.86,4.20
H,7.09,0.91
H,8.72,5.01
H,9.87,0.55
H,7.73,4.68
H,4.09,4.98
H,8.73,0.87
H,4.02,2.23
H,6.50,2.68
H,7.69,0.75
H,9.91,5.03
H,7.26,5.05
H,7.66,4.11
H,9.97,4.09
H,5.25,0.87
H,4.73,5.00
H,9.43,3.59
H,7.03,2.21
H,9.21,3.40
H,8.11,3.36
H,8.25,4.41
H,8.98,3.00
H,2.94,1.72
H,8.44,4.96
H,7.05,9.00
H,2.08,5.84
H,6.23,0.09
H,6.77,4.06
H,6.46,4.93
H,9.45,0.23
H,7.07,1.63
H,5.15,1.58
H,5.46,5.04
H,6.68,1.71
H,1.37,4.63
H,0.46,2.48
H,6.82,2.61
H,4.25,2.90
H,7.00,4.93
H,6.59,2.69
H,8.71,3.99
H,7.88,4.99
H,7.27,3.57
H,5.02,4.97
H,6.57,1.98
H,9.25,8.11
H,8.71,8.25
H,9.80,0.55
H,7.07,8.63
H,4.22,6.21
H,8.15,4.99
H,8.95,5.07
H,9.76,0.42
H,3.61,7.71
H,9.19,5.01
H,5.70,5.02
H,3.44,9.11
H,3.79,1.01
H,8.58,0.57
H,8.38,3.76
H,9.80,4.54
H,6.36,5.06
H,7.10,7.68
H,6.73,7.93
H,5.94,7.71
H,6.24,6.26
H,9.01,5.01
H,5.27,2.85
H,8.19,4.97
H,9.70,6.43
H,7.87,7.63
H,6.05,1.09
H,3.57,5.07
H,5.59,1.80
H,8.62,1.44
H,3.53,8.50
H,6.92,8.61
H,9.18,7.30
H,4.78,8.43
H,5.89,7.74
H,7.36,6.38
H,8.80,5.36
H,4.39,5.37
H,6.59,7.21
H,7.13,4.68
H,7.13,1.25
H,7.73,5.04
H,3.67,0.52
H,4.35,0.58
H,8.20,5.04
H,8.15,5.31
H,3.10,9.40
H,8.66,7.04
H,6.46,3.76
H,2.34,2.11
H,1.01,7.77
H,3.03,2.26
H,6.20,0.36
H,3.03,6.92
H,0.70,9.57
H,4.10,6.79
H,2.45,5.01
H,8.97,8.68
H,0.99,4.98
H,2.68,4.94
H,0.55,4.98
H,5.42,9.29
H,2.29,7.42
H,1.23,9.12
H,3.86,8.97
H,1.59,2.53
H,3.55,0.67
H,1.11,4.98
H,4.74,0.55
H,1.38,5.04
H,0.40,5.41
H,6.19,9.40
H,2.22,4.95
H,4.40,0.68
H,3.88,9.62
H,1.79,8.91
H,3.33,4.94
H,2.69,5.00
H,5.13,5.74
H,4.07,5.74
H,2.66,8.45
H,4.29,2.48
H,5.85,0.90
H,3.34,1.27
H,2.37,4.98
H,3.11,5.02
H,1.39,5.02
H,3.64,9.21
H,1.45,4.99
H,2.10,9.81
H,5.28,0.93
H,1.21,5.01
H,1.05,4.99
H,1.56,7.73
H,3.37,8.96
H,5.47,0.16
H,5.50,9.31
H,4.55,5.91
H,1.12,5.52
H,1.28,7.46
H,0.09,2.33
H,3.02,7.55
H,2.36,0.85
H,1.16,2.77
H,0.46,6.29
H,2.13,7.29
H,3.90,6.35
H,6.04,2.88
H,0.68,0.52
H,8.01,9.34
H,0.17,6.42
H,6.22,8.41
H,5.08,9.18
H,2.07,0.23
H,1.16,5.06
H,0.20,9.41
H,2.84,1.03
H,2.97,5.03
H,8.91,4.92
H,3.40,9.51
H,2.74,6.20
H,3.93,9.60
H,2.76,4.95
H,2.88,5.02
H,0.18,8.27
H,3.73,4.96
H,1.95,9.13
H,2.64,0.59
H,8.34,2.20
H,6.85,4.99
H,9.86,8.53
H,8.94,4.81
H,1.92,0.97
H,8.70,0.98
H,7.91,0.61
H,9.84,7.58
H,6.81,7.98
H,2.58,4.45
H,1.11,5.20
H,2.80,7.47
H,4.98,5.00
H,1.33,5.01
H,3.07,3.48
H,1.37,5.00
H,1.57,2.08
H,1.70,0.69
H,4.08,0.04
H,6.23,2.80
H,4.70,8.25
H,8.76,9.20
H,1.77,5.21
H,8.04,3.86
H,8.49,7.39
H,7.01,7.76
H,3.94,4.63
H,3.62,7.18
H,5.70,5.05
H,0.92,9.94
H,0.58,2.35
H,6.42,3.33
H,4.89,7.18
H,5.64,8.70
H,4.79,2.83
H,7.89,7.21
H,8.04,2.90
H,9.11,1.78
H,9.34,3.54
H,6.32,1.72
H,8.17,4.93
H,9.68,0.30
H,9.28,4.93
H,2.53,3.78
H,4.10,9.27
H,0.45,0.87
H,0.58,7.94
H,6.55,5.00
H,9.27,2.32
H,4.48,0.81
H,8.97,1.29
H,4.66,3.16
H,2.58,8.80
H,6.86,5.58
H,4.34,3.54
H,7.38,6.45
H,7.04,6.08
H,8.86,6.14
H,8.96,3.40
H,3.92,4.35
H,0.72,5.17
H,1.35,8.09
H,2.75,5.98
H,0.79,3.53
H,5.85,2.24
H,2.70,2.95
H,4.26,9.94
H,5.37,3.72
H,9.33,0.59
H,0.67,2.61
H,3.57,2.60
H,0.43,1.96
H,5.87,9.51
H,6.26,5.48
H,8.60,0.63
H,6.12,5.96
H,6.96,0.82
H,5.70,3.15
H,2.03,8.17
H,4.45,8.56
H,7.17,9.14
H,2.25,2.15
H,2.94,6.82
H,8.86,7.66
H,8.57,5.00
H,6.48,1.71
H,1.01,1.08
H,6.22,0.56
H,8.64,2.22
H,8.30,8.87
H,7.43,6.79
H,8.68,4.94
H,3.42,7.04
H,5.57,5.00
H,9.98,2.69
H,9.82,5.72
H,6.35,0.92
H,8.36,1.75
H,7.15,5.60
H,2.70,5.00
H,1.56,9.94
H,4.66,1.29
H,4.11,4.97
H,1.96,2.11
H,1.80,0.51
H,7.74,0.70
H,9.55,2.09
H,8.82,5.36
H,0.41,7.01
H,9.47,5.13
H,0.37,6.55
H,7.57,3.39
H,5.41,0.35
H,1.15,1.19
H,1.59,0.92
H,0.06,3.43
H,4.55,0.15
H,0.88,1.02
H,5.36,1.94
H,5.76,4.04
H,9.95,6.63
H,3.95,1.40
H,5.58,0.24
H,9.31,1.33
H,6.54,0.80
H,6.87,2.86
H,9.76,5.42
H,8.35,4.99
H,9.50,7.96
H,5.34,1.43
H,0.07,8.03
H,3.05,4.96
H,6.76,1.52
H,8.91,4.97
H,4.45,6.29
H,9.88,7.71
H,9.71,2.41
H,8.16,4.93
H,0.35,2.10
H,4.37,8.99
H,8.28,3.15
H,9.67,4.97
H,1.13,4.98
H,5.37,5.04
H,9.46,2.92
H,4.52,1.88
H,9.12,2.29
H,4.79,0.05
H,3.36,2.58
H,7.56,8.26
H,5.12,7.87
H,6.08,7.32
H,5.05,5.32
H,6.58,6.46
H,6.66,9.83
H,6.48,2.23
H,8.84,5.22
H,3.08,0.01
H,7.71,0.44
H,7.57,5.03
H,3.43,0.60
H,8.18,4.99
H,7.36,4.88
H,6.82,5.25
H,0.84,3.02
H,0.81,3.08
H,5.54,7.47
H,2.47,5.01
H,3.42,7.30
H,9.48,7.00
H,3.08,4.94
H,8.28,9.81
H,2.98,0.19
H,0.67,0.37
H,9.98,5.13
H,8.34,4.99
H,4.38,8.92
H,5.39,5.49
H,6.21,3.61
H,3.29,0.21
H,1.74,4.93
H,0.70,0.92
H,0.51,1.52
H,2.31,5.19
H,6.69,9.82
H,7.88,7.24
H,7.46,8.59
H,7.55,6.58
H,9.79,1.06
H,8.98,9.98
H,7.59,4.31
H,9.15,7.69
H,4.74,5.00
H,3.34,4.94
H,4.85,7.34
H,2.02,4.51
H,0.61,1.13
H,5.66,1.36
H,5.99,9.44
H,9.32,0.50
H,7.43,5.06
H,2.43,2.68
H,1.61,1.41
H,2.38,7.61
H,8.36,5.03
H,7.17,9.55
H,5.46,1.28
H,2.00,4.73
H,1.01,5.03
H,2.32,4.98
H,0.19,3.96
H,7.33,9.57
H,4.77,1.82
H,5.55,2.57
H,0.57,4.75
H,9.07,6.68
H,7.91,9.10
H,4.19,9.44
H,4.03,9.92
H,6.12,6.89
H,9.17,4.57
H,6.67,5.03
H,3.34,4.64
H,8.60,6.99
H,3.04,8.62
H,2.70,5.00
H,3.14,9.43
H,1.05,3.06
H,3.12,5.02
H,0.59,4.99
H,0.65,3.50
H,1.40,2.72
H,0.93,3.94
H,9.92,6.81
H,9.65,9.58
H,0.04,3.71
H,8.81,1.58
H,8.08,9.65
H,8.84,7.71
H,9.99,2.19
H,3.57,9.42
H,0.32,0.00
H,2.95,1.06
H,8.57,2.27
H,6.59,2.28
H,0.25,7.49
H,1.62,1.81
H,3.88,3.53
H,4.07,3.03
H,1.84,2.99
H,4.09,1.85
H,1.58,2.68
H,8.24,2.42
H,0.18,1.68
H,9.80,9.78
H,7.24,5.05
H,7.57,7.70
H,9.47,2.17
H,8.33,0.54
H,6.21,4.71
H,5.86,5.38
H,6.15,2.63
H,9.77,7.86
H,2.71,9.93
H,2.64,5.03
H,3.33,8.04
H,2.02,3.23
H,6.66,1.08
H,3.34,4.94
H,1.00,5.03
H,3.98,3.85
H,4.82,9.11
H,7.29,4.06
H,0.88,1.36
H,5.44,8.47
H,5.66,4.55
H,3.24,8.65
H,7.74,1.04
H,5.99,4.22
H,9.27,4.93
H,5.85,7.17
H,9.56,6.46
H,3.74,7.46
H,4.34,5.96
H,9.85,6.91
H,0.88,7.00
H,4.53,8.07
H,1.13,4.98
H,2.14,3.49
H,9.72,8.22
H,4.69,5.06
H,8.75,0.99
H,2.46,0.67
H,5.27,3.25
H,8.33,4.99
H,0.06,3.78
H,1.52,1.86
H,1.93,8.70
H,6.94,1.41
H,4.02,4.98
H,9.60,6.91
H,5.20,0.57
H,4.12,0.28
H,6.93,2.56
H,9.74,9.61
H,8.61,4.96
H,7.30,5.93
H,9.12,9.31
H,9.40,6.57
H,5.14,1.54
H,9.20,4.39
H,6.21,3.23
H,6.58,2.06
H,6.66,0.88
H,6.40,6.22
H,8.79,8.16
H,6.81,2.87
H,8.91,9.98
H,8.46,5.11
H,0.70,8.02
H,1.00,5.03
H,9.04,7.70
H,9.32,1.96
H,9.68,7.61
H,0.92,0.09
H,6.70,8.03
H,9.07,0.15
H,7.77,6.77
H,4.12,4.97
H,1.63,0.33
H,4.51,3.48
H,9.47,6.67
H,3.04,2.33
H,1.93,2.96
H,6.92,0.05
H,0.95,3.06
H,0.36,1.94
H,9.30,7.45
H,4.75,5.00
H,7.64,6.74
H,8.39,5.80
H,5.34,7.19
H,9.25,1.06
H,9.55,8.57
H,5.27,7.64
H,3.00,0.60
H,2.19,1.84
H,8.27,4.83
H,6.83,3.17
H,6.97,4.33
H,6.50,0.06
H,5.24,0.46
H,6.60,9.54
H,4.83,5.86
H,3.55,6.69
H,6.48,8.65
H,2.25,4.60
H,6.20,1.10
H,3.07,3.39
H,7.12,5.51
H,5.34,1.13
H,5.69,5.02
H,8.98,5.91
H,7.36,8.66
H,2.10,4.79
H,2.25,9.14
H,1.16,9.73
H,2.70,5.00
H,3.54,2.02
H,4.41,1.27
H,0.90,8.85
H,1.12,2.31
H,2.77,4.95
H,1.38,9.14
H,6.58,8.41
H,1.34,2.28
H,0.18,3.61
H,7.05,1.54
H,5.15,5.96
H,5.74,2.81
H,0.84,1.90
H,4.00,9.94
H,0.23,8.03
H,7.31,4.38
H,8.67,4.94
H,8.37,1.81
H,0.68,9.24
H,5.70,3.17
H,9.36,5.33
H,0.16,0.48
H,7.72,4.72
H,3.55,1.06
H,8.60,9.96
H,8.58,6.28
H,7.75,7.17
H,7.44,9.65
H,0.11,8.60
H,0.13,5.47
H,6.98,5.71
H,3.51,8.56
H,9.59,0.89
H,4.13,4.97
H,3.84,0.11
H,1.92,1.90
H,2.73,1.56
H,2.02,3.23
H,3.58,5.05
H,7.97,9.71
H,2.64,4.81
H,4.45,0.27
H,7.97,1.78
H,0.57,2.85
H,0.17,1.27
H,8.83,7.90
H,8.35,2.18
H,0.36,2.94
H,8.37,8.43
H,9.16,6.32
H,2.77,6.40
H,8.80,7.52
H,9.14,5.64
H,5.07,9.56
H,7.33,5.50
H,0.69,3.07
H,6.86,2.85
H,2.49,1.73
H,6.19,9.51
H,3.14,4.63
H,2.46,8.00
H,2.70,5.00
H,3.49,2.85
H,3.12,5.02
H,1.36,0.20
H,0.58,3.41
H,0.58,2.29
H,8.49,4.35
H,0.92,0.09
H,2.03,5.21
H,9.60,6.43
H,3.04,3.01
H,4.44,4.62
H,5.12,3.76
H,8.67,4.94
H,7.72,5.70
H,1.23,4.12
H,9.39,4.89
H,9.30,2.34
H,8.05,4.05
H,4.54,4.30
H,8.15,4.93
H,1.14,4.98
H,6.33,7.96
H,9.33,6.65
H,0.20,9.92
H,0.22,3.97
H,2.39,2.63
H,5.07,3.41
H,7.68,6.33
H,4.41,6.57
H,8.56,6.80
H,4.15,3.55
H,6.78,2.17
H,6.55,0.56
H,4.59,9.02
H,6.03,3.18
H,5.68,5.02
H,5.62,7.92
H,5.73,1.71
H,3.33,6.40
H,8.41,6.16
H,2.11,7.02
H,8.52,4.74
H,0.99,1.35
H,0.33,1.28
H,0.82,0.67
H,0.46,1.33
H,5.13,1.35
H,8.76,1.77
H,8.30,1.45
H,5.95,7.28
H,7.58,9.42
H,4.29,5.58
H,7.15,0.12
H,4.53,2.32
H,6.65,1.25
H,7.38,3.30
H,5.45,5.04
H,1.47,0.46
H,8.60,4.97
H,9.77,7.40
H,3.20,9.44
H,5.15,0.39
H,2.43,1.66
H,5.83,5.13
H,8.46,8.69
H,8.10,6.29
H,4.65,4.94
H,9.37,3.27
H,6.91,4.95
H,2.69,4.94
H,2.57,1.64
H,3.70,6.86
H,4.95,5.71
H,3.98,2.58
H,2.15,2.62
H,0.86,1.53
H,4.34,9.07
H,2.98,5.03
H,0.30,7.26
H,1.96,2.44
H,8.82,2.89
H,1.92,8.17
H,9.90,4.34
H,7.21,2.37
H,9.64,6.51
H,9.64,4.64
H,3.01,1.55
H,2.95,0.37
H,8.84,7.76
H,7.28,7.20
H,7.37,1.73
H,9.68,3.97
H,0.10,2.41
H,8.45,5.64
H,7.54,3.69
H,3.93,2.23
H,6.77,5.13
H,3.87,1.93
H,1.00,0.10
H,8.18,1.44
H,9.74,8.56
H,7.92,9.98
H,7.34,1.34
H,7.81,1.26
H,1.91,4.99
H,7.78,5.75
H,1.80,4.98
H,7.46,2.15
H,8.18,9.39
H,4.72,1.88
H,0.15,9.56
H,0.27,2.68
H,2.78,4.95
H,0.44,2.16
H,6.60,5.51
H,3.02,4.56
H,9.53,8.06
H,0.56,0.36
H,1.15,4.98
H,3.98,2.45
H,1.62,3.53
H,4.01,8.36
H,5.67,5.02
H,1.14,0.77
H,0.27,0.81
H,9.13,3.00
H,1.24,3.37
H,5.12,1.62
H,9.10,5.79
H,7.63,3.05
H,9.03,2.39
H,4.88,5.76
