
 Sim No:, 1,, N:, 1.0,, d:, 0.13 
Step No:, 94,, N_bact:, 237,, N_food:,0 
 
Symbol:, pos x:, pos y: 
H,4.60,5.57
H,0.28,2.47
H,1.51,3.20
H,3.14,5.03
H,7.84,8.53
H,4.29,5.00
H,6.67,8.24
H,7.03,5.04
H,4.82,4.81
H,9.81,8.15
H,5.26,5.03
H,1.91,8.64
H,7.04,4.95
H,7.06,5.90
H,9.66,7.18
H,8.13,8.03
H,2.38,3.64
H,5.31,7.52
H,0.06,8.99
H,6.86,4.99
H,6.82,4.95
H,2.26,4.98
H,4.06,8.63
H,6.31,4.96
H,1.92,5.05
H,3.63,8.63
H,6.85,5.02
H,4.74,5.02
H,2.29,5.01
H,8.47,8.00
H,3.41,5.04
H,8.17,4.59
H,6.56,5.05
H,5.11,4.96
H,8.86,6.55
H,8.54,4.95
H,1.90,4.96
H,6.94,4.93
H,1.21,5.04
H,3.51,7.20
H,2.81,2.89
H,1.54,4.93
H,2.65,4.44
H,0.94,0.13
H,9.08,8.27
H,1.09,7.30
H,7.03,4.95
H,1.60,4.08
H,2.16,1.18
H,6.11,2.41
H,2.62,2.38
H,7.12,1.85
H,9.63,5.06
H,3.74,7.36
H,6.33,3.12
H,3.42,5.04
H,1.02,5.00
H,0.15,0.24
H,3.02,2.43
H,0.87,6.01
H,6.48,9.89
H,5.06,2.28
H,6.90,4.93
H,9.31,6.71
H,3.43,5.04
H,2.52,1.41
H,7.70,2.72
H,9.39,6.62
H,6.96,6.85
H,0.24,4.56
H,6.96,5.04
H,1.02,5.00
H,0.19,5.55
H,7.71,8.26
H,0.05,4.94
H,7.25,4.47
H,1.84,2.42
H,4.44,4.78
H,8.86,6.87
H,4.51,2.07
H,7.40,5.12
H,6.44,4.99
H,2.55,6.57
H,1.44,6.10
H,8.50,4.94
H,2.82,0.03
H,7.03,4.95
H,8.92,4.99
H,4.64,4.97
H,6.57,7.03
H,1.03,5.00
H,9.62,5.05
H,8.61,4.93
H,0.18,1.72
H,5.79,0.29
H,0.75,5.45
H,3.65,5.04
H,8.63,5.57
H,0.62,4.94
H,9.26,6.27
H,6.89,4.93
H,9.62,5.06
H,7.66,5.06
H,6.10,7.73
H,8.35,5.00
H,2.56,1.80
H,7.50,5.01
H,8.93,7.13
H,1.62,8.25
H,9.94,5.39
H,2.67,6.11
H,2.99,3.68
H,6.19,4.95
H,7.88,4.94
H,4.00,3.80
H,7.03,4.95
H,8.95,5.00
H,8.95,6.54
H,1.02,4.99
H,4.22,9.49
H,7.84,6.21
H,7.12,4.86
H,7.24,3.40
H,0.10,9.36
H,6.29,4.70
H,1.40,4.58
H,8.90,4.99
H,1.52,8.85
H,0.08,6.69
H,7.91,7.91
H,5.69,2.32
H,1.04,5.00
H,6.94,5.04
H,8.73,4.46
H,0.16,4.92
H,9.63,5.06
H,4.48,4.99
H,0.17,4.72
H,5.03,4.93
H,0.73,9.94
H,6.37,2.05
H,1.03,4.92
H,9.90,4.98
H,8.06,7.50
H,9.98,2.18
H,2.44,7.93
H,6.91,8.03
H,9.61,0.68
H,5.79,4.95
H,5.10,4.96
H,1.91,4.96
H,8.29,1.22
H,6.52,8.49
H,8.35,5.00
H,6.32,3.59
H,1.19,0.49
H,1.00,5.03
H,8.26,4.98
H,7.65,5.06
H,0.20,6.18
H,1.70,5.03
H,6.68,5.00
H,1.01,5.00
H,0.05,4.94
H,3.46,3.32
H,0.62,4.94
H,4.45,6.22
H,9.28,7.14
H,9.22,5.36
H,3.94,8.56
H,3.82,0.36
H,9.61,5.06
H,6.02,4.95
H,2.43,0.72
H,1.02,5.00
H,1.59,5.05
H,1.80,4.43
H,8.34,5.00
H,3.15,5.03
H,9.78,2.39
H,2.01,7.59
H,6.85,4.99
H,5.80,4.95
H,9.32,9.80
H,6.43,4.99
H,3.03,7.25
H,4.93,5.55
H,6.83,3.91
H,2.74,4.37
H,6.44,6.96
H,9.18,7.58
H,9.95,6.81
H,1.49,3.66
H,4.75,5.02
H,1.74,3.60
H,0.16,0.24
H,1.04,5.00
H,7.02,4.95
H,9.24,6.77
H,6.88,4.93
H,9.27,5.88
H,9.62,5.06
H,8.07,4.33
H,2.88,5.21
H,8.26,4.98
H,6.42,4.99
H,2.57,3.41
H,1.78,0.64
H,6.40,8.78
H,4.59,6.87
H,7.03,4.95
H,4.02,2.28
H,1.69,7.44
H,8.91,4.99
H,0.63,4.94
H,1.48,1.78
H,2.56,9.48
H,1.71,5.03
H,9.98,6.39
H,6.42,4.99
H,2.04,3.61
H,0.83,3.01
H,4.30,5.00
H,4.07,8.63
H,7.02,4.95
H,2.17,1.18
H,6.95,6.85
H,4.45,4.78
H,7.39,5.12
H,2.56,6.57
H,0.76,5.45
H,3.66,5.04
H,1.20,0.49
H,6.67,5.00
H,2.75,4.37
H,0.17,0.24
H,0.84,3.01
